,DC,EC,good expansion
282,Impfstoff,experimenteller Impfstoff,0
283,Rauchen,integraler Bestandteil der vietnamesischen Kultur,0
284,Prostitution,freie Wahl,0
285,künstliche Intelligenz,Technologien,1
286,Drogen,Misserfolg,0
287,Prostitution,Gesetzesänderungsgesetz,0
288,DNA,Nukleinsäure,1
289,Kapitalismus,politische Philosophie,1
290,Internet,globale öffentliche Ressource,0
291,Steuer,Mischung,0
292,Sport,wichtige Form,0
293,Demokratie,repräsentative Demokratie,1
294,Religion,Bewegung,0
295,Religion,kulturelles System,0
296,Internet,elektronische Signale,0
297,Kunst,kulturelle Elemente,0
298,Prostitution,Straftat des dritten Grades,0
299,Prostitution,andere Gesetzesänderungen,0
300,DNA,autosomale DNAs,0
301,Kryptowährung,Form der digitalen oder virtuellen Währung,0
302,Kapitalismus,Feinde,0
303,Internet,globaler öffentlicher Raum,0
304,Impfstoff,biologische Zubereitung,0
305,Gleichstellung der Geschlechter,Ermutigung,0
306,Kunst,kollektiver Begriff,0
307,Abtreibung,chirurgisches Verfahren,0
308,Impfstoff,Initiativen,0
309,Internet,integraler Bestandteil des Lebens,0
310,Demokratie,politische Ideologie,1
311,Impfung,günstige und effektive Möglichkeit,0
312,Internet,relativ neues Phänomen,0
313,Drogen,Substanzen,0
314,Gesundheitsversorgung,Rechte,0
315,Impfstoff,inaktivierter Poliovirus Impfstoff,0
316,Kunst,Fahrzeug,0
317,Monopol,Monopol,1
318,Kunst,Objekte,0
319,Klimawandel,positives Klima Feedback,0
320,Prostitution,große soziale Frage,0
321,Prostitution,Prostitution,1
322,DNA,gemeinsame Methode der Gensilencing,0
323,Demokratie,Gelegenheit,0
324,Sport,wettbewerbsfähiger Kontaktsport,0
325,Sport,umstrittenes Thema,0
326,Kunst,Formen des kulturellen Ausdrucks,0
327,Technologie,Elemente der Kultur,0
328,Smartphone,Geräte,0
329,Patriotismus,Entwicklung des früheren Begriffs,0
330,Religion,wichtiger Moment,0
331,Internet,globales System vernetzter Computernetze,1
332,Religion,komplexes und problematisches modernes westliches Konzept,0
333,Demokratie,Instrument,0
334,Sport,Sport,1
335,Prostitution,Minderjähriger,0
336,Demokratie,indirekte Demokratie,1
337,Sport,wichtiger Teil Australiens,0
338,Kunst,Herausforderung,0
339,Religion,Weltanschauungssystem,0
340,Kunst,Rückkehr,0
341,Internet,Reihe vernetzter Internet Protokolle,0
342,Sport,wichtiger Zeitvertreib,0
343,Religion,Form der Zensur,0
344,Demokratie,Herrenvolk Demokratie,1
345,Technologie,private Branchenexperten,0
346,Impfstoff,toxoider Impfstoff,0
347,Medikament,Agonist des Androgen,0
348,Technologie,Bewegung,0
349,Sport,gemeinsame Aktivitäten,0
350,Kunst,pädagogisches Programm,0
351,Prostitution,weiterer grauer Bereich,0
352,Drogen,Verbrechen,1
353,Religion,Reihe,0
354,Kunst,Thema,0
355,Medikament,Arzneimittel,1
356,Prostitution,administrativer aber nicht strafrechtlicher Straftat,0
357,Demokratie,Tendenz,0
358,Atomwaffen,nukleare Sprengstoffe,1
359,Demokratie,Regierungssystem,1
360,Flüchtlinge,verdrängte Bevölkerungsgruppen,0
361,Globalisierung,Tatsache des Lebens,0
362,Drogen,Formen des Escapismus,0
363,Sport,Formen der körperlichen Aktivität,0
364,Religion,Pre Christen Friedenssysteme,0
365,Euthanasie,schwere Verbrechen,0
366,Internet,IKT,1
367,Klimawandel,so große Herausforderung,0
368,Abtreibung,Familienplanungsdienste,0
369,Prostitution,Manifestationen männlicher sexueller Macht,0
370,Impfstoff,Schuss,0
371,Smartphone,tragbares Gerät,0
372,Religion,gemeinsame theologische Haltung,0
373,Smartphone,Fußgänger,0
374,Rauchen,Zigarettenstumpf,1
375,Kapitalismus,Art,0
376,Abtreibung,vorläufige Schritte,0
377,Internet,weiteres wichtiges Thema,0
378,Medikament,strukturelles oder funktionelles Analoga einer kontrollierten Substanz,0
379,Steuer,Verschmutzungssteuer,0
380,Todesstrafe,lange ungenutzte Strafe,0
381,Globalisierung,soziale Kraft der wirtschaftlichen Globalisierung,1
382,Technologie,wertvolle Hilfe,0
383,Technologie,Produkte,0
384,Internet,Ressourcen,0
385,Rauchen,großer Risikofaktor,0
386,Drogen,Manipulationen,0
387,Klimawandel,globale Sicherheitsfragen,0
388,Globalisierung,Phase,0
389,Abtreibung,Verfahren,0
390,Religion,Religion,1
391,Demokratie,sozialen Organisation,0
392,Medikament,Noradrenalin Freisetzungsmittel,0
393,Globalisierung,wesentlicher Faktor,0
394,Rauchen,wichtiges präventives Instrument,0
395,soziale Medien,Online Ressourcen,0
396,Technologie,Teil des Bewusstseins,0
397,Steuer,obligatorische Finanzabgabe,0
398,Demokratie,System der demokratischen Regierungsführung,0
399,Prostitution,vorbestehendes Thema,0
400,Religion,Religionen,1
401,Todesstrafe,Faktor,0
402,Internet,Speicher und Forward Netzwerk,0
403,Religion,andere,0
404,Drogen,Schwarzmarktgüter,0
405,Internet,normaler Bestandteil des Lebens,0
406,Prostitution,Karriere Option,0
407,Demokratie,Werk der Art,0
408,Kapitalismus,Verfeinerung des Kapitalismus,1
409,Technologie,breites Konzept,0
410,Studentendarlehen,Darlehen,1
411,Medikament,Zubereitung,0
412,Sport,integraler Bestandteil des nationalen Lebens,0
413,DNA,leistungsfähiges Werkzeug,0
414,Technologie,Zeit der technologischen Entwicklung,0
415,DNA,sprachliche Eigenschaften dieser psychischen Phänomene,0
416,Prostitution,Hauptbestandteil der Sexbranche,0
417,Demokratie,System der Verarbeitung,0
418,Technologie,reife Quelle des Engagements,0
419,Gesundheitsversorgung,wichtiges Ziel,0
420,Demokratie,politisches Konzept,0
421,Fettleibigkeit,Faktoren,0
422,Religion,Zweig,0
423,Technologie,großer Teil,0
424,Abtreibung,Erweiterung,0
425,Internet,globales System,0
426,Gesundheitsversorgung,wichtiger Bestandteil der grundlegenden mütterlichen Gesundheitsversorgung,0
427,Klimawandel,Umweltfragen,1
428,Impfstoff,Beispiel,0
429,Demokratie,System demokratischer Staatsführung,1
430,Steuer,Feststeuer,0
431,Sport,wichtiger Teil der grünländischen Kultur,0
432,Internet,Netzwerke,1
433,Religion,Aktivitäten,0
434,Religion,sozial kulturelles System,0
435,Internet,internationales Netzwerk,1
436,Impfstoff,lebensgedämpfter Impfstoff,0
437,Gesundheitsversorgung,Schlüsselelement der Allgemeinen Erklärung,0
438,Religion,alte Religion,0
439,Prostitution,unsterbliche Aktivitäten,0
440,Technologie,Unterfeld der Philosophie,0
441,Technologie,Chance,0
442,Todesstrafe,Form der Strafe,0
443,Demokratie,gewaltige Kraft demokratischer Reformen,1
444,DNA,künstliche DNA Sequenz,0
445,Kapitalismus,Oxymoron,0
446,Religion,weiteres Thema,0
447,gleichgeschlechtliche Ehe,Dinge,0
448,Abtreibung,heikles Thema,0
449,Sport,Kombination,0
450,Demokratie,Modell der Demokratie,0
451,Demokratie,Form der Demokratie,0
452,Abtreibung,lebensbedrohliches Verfahren,0
453,Steuer,progressive Steuer,0
454,Internet,viel mehr ansprechendes Medium,0
455,Prostitution,Geldstrafe,0
456,Fettleibigkeit,gesundheitliche Probleme,1
457,Prostitution,gemeinsamer Diskurs,0
458,Abtreibung,Informationen,0
459,Demokratie,Mischung,0
460,Demokratie,strukturiertes Umfeld,0
461,Religion,kulturelle Ausdrucksformen,0
462,Steuer,wichtige Form der Finanzierung,0
463,Abtreibung,Erweiterung der Abtreibungsdebatte,0
464,Abtreibung,Angelegenheit der Menschenrechte,0
465,Demokratie,regierendes System,0
466,Impfstoff,Verzögerung,0
467,Religion,Zensur,0
468,Patriotismus,Patriotismus,1
469,Internet,Beispiel,0
470,Internet,ein extrem dezentralisiertes Netzwerk,0
471,Prostitution,Form der Prostitution,0
472,Globalisierung,Periode der Globalisierungsgeschichte,1
473,Impfstoff,Ebola Impfstoff,1
474,Internet,nützliches Instrument,0
475,Flüchtlinge,wesentlicher Vertrag,0
476,Steuer,Methode,0
477,Sport,Handlungen,0
478,Gesundheitsversorgung,integrierter Bestandteil des Gesundheitssystems,0
479,Heimschule,Minderungsanstrengungen,0
480,Kunst,Art,0
481,Kunst,offenes Feld,0
482,Medikament,nicht selektiver,0
483,Religion,Mischung,0
484,Prostitution,Formen des Geschlechts,0
485,Religion,Illusion,0
486,Kapitalismus,theoretisches Konzept,0
487,Religion,ethnische Religion,1
488,Religion,einheitliches System der Glaubens,0
489,Demokratie,liberale Demokratie,1
490,Medikament,Droge,1
491,Rauchen,wichtiger Risikofaktor,0
492,Drogen,Mitglieder der Internationalen Task,0
493,Rauchen,Risikofaktor,0
494,Gesundheitsversorgung,Gründe,0
495,Demokratie,Form der Selbstverteidigung,0
496,Technologie,wichtiges Instrument,0
497,Internet,künstlerische Felder,0
498,Todesstrafe,Strafe,0
499,Abtreibung,Methode,0
500,künstliche Intelligenz,Unfähigkeit,0
501,Demokratie,Regierung,1
502,Technologie,farb veränderter Film,0
503,Doping,weltweites Übel,0
504,Sport,langer Hemmschuh,0
505,Religion,Angelegenheiten der Meinung,0
506,Religion,wichtiger Teil des Mosuo,0
507,Demokratie,Reform repräsentativer oder direkter Demokratien,0
508,Klimawandel,schwere anhaltende und globale Bedrohung,0
509,Religion,universelle Botschaft,0
510,Steuer,Aufzeichnungen,0
511,Medikament,medizinische Subspezialität,0
512,Todesstrafe,harte Strafen,0
513,Medikament,Serotonin Freisetzungsmittel,0
514,Religion,Gegenstand der Debatte,0
515,Technologie,drahtlose kurze digitale Kommunikation,0
516,Drogen,städtische soziale Probleme,0
517,DNA,klassisches Beispiel,0
518,Technologie,Mittel,0
519,Rauchen,großes Problem,0
520,Technologie,Assay,0
521,Internet,Dienstleister,0
522,Religion,Essays,0
523,Prostitution,damit verbundene Aktivitäten,0
524,Technologie,Online Chat,0
525,Religion,Gläubigen,0
526,Abtreibung,Fortsetzung,0
527,Abtreibung,Verletzung des Zivil,0
528,Demokratie,politische Theorie,1
529,Medikament,Zutat,0
530,Studentendarlehen,Art,0
531,Abtreibung,Ergebnis der weit verbreiteten Unsterblichkeit,0
532,Steuer,Sonderfall einer Lenksteuer,0
533,Impfung,veterinärrechtliche Kontrollmethoden,0
534,soziale Medien,Webplattformen,1
535,Drogen,periphere Probleme,0
536,Steuer,Prozentsatz der steuerpflichtigen Löhne,0
537,Monopol,Formen der Marktherrschaft,0
538,Todesstrafe,internationale Allianz,0
539,Demokratie,friedlicher Übergang,0
540,Demokratie,Form sozialdemokratischer Arrangements,0
541,Globalisierung,Begriff,0
542,Atombombe,Atomwaffe,1
543,Kunst,gelehrte Gesellschaft,0
544,Religion,wesentlicher Bestandteil ihres kulturellen Lebens,0
545,Kunst,Begriff,0
546,Abtreibung,sicheres Verfahren,0
547,Technologie,Ganzes,0
548,Religion,Einfluss,0
549,Technologie,Unterfeld der Ethik,0
550,Technologie,Fertigungstechnik,0
551,Kunst,Bodegón,1
552,Impfstoff,Untereinheit Impfstoff,0
553,Demokratie,Art freiwilliger direkter Demokratie,0
554,Kapitalismus,politisches Modell,1
555,Prostitution,Formen der Sexarbeit,1
556,Internet,inhärenter Kanal,0
557,Religion,Mantar,0
558,Fettleibigkeit,Risikofaktor,0
559,Demokratie,politische Theorie,1
560,Internet,konzipiertes Computernetzwerk,1
561,Gesundheitsversorgung,Seltenheit,0
562,Religion,Gruppe,0
563,Gesundheitsversorgung,fortschreitende Fragen,0
564,Impfstoff,Grippe Impfstoff,1
565,Gesundheitsversorgung,wichtiger Bestandteil der Gesundheitssysteme,0
566,Religion,Fusion der traditionellen Religionspraktiken,0
567,Kunst,maßgeblicher Einfluss,0
568,Rauchen,wichtiger Faktor,0
569,Internet,beliebter Ort,0
570,Internet,MedienLenovo,0
571,Prostitution,Formen sexueller Aktivität,0
572,Sport,monatliche Sportmagazine,0
573,Kunst,Kategorie,0
574,DNA,idealer Proxy,0
575,Prostitution,Verbrechen,0
576,Technologie,Essays,0
577,Demokratie,politisches System,1
578,Klimawandel,soziale Kosten,0
579,Rauchen,wichtige Ursache,0
580,Monopol,Markt,0
581,Internet,Sammlung,0
582,Religion,wichtiger Aspekt der Identität,0
583,Prostitution,konzeptionelles und performatives Werk kritischer und biografischer Inhalte,0
584,Rauchen,wesentliche Ursache,0
585,Klimawandel,signifikante langfristige Veränderung des erwarteten Musters,0
586,Patriotismus,Ideologie,1
587,Kapitalismus,System der Ausbeutung,0
588,Steuer,gute Steuer,0
589,Abtreibung,medizinisches Phänomen der spontanen Abtreibung,0
590,Sport,Anwendungen,0
591,Flaschenwasser,Ausnahme,0
592,Steuer,Zwecke,0
593,Prostitution,Form der Sexarbeit,1
594,Kunst,vielfältige Palette,0
595,Kapitalismus,Effekt der Regierung,0
596,DNA,fremde DNA,0
597,Sport,soziale Aktivitäten,0
598,Prostitution,Transaktion,0
599,Internet,Arten,0
600,Prostitution,Aktivitäten,0
601,Klimawandel,Frage,0
602,Prostitution,Freizeiteinrichtungen,0
603,Kunst,zweidimensionales Objekt,0
604,Steuer,Wähler Registrierungsmaßnahmen,0
605,Kunst,Reader,0
606,DNA,Körperflüssigkeiten,0
607,Sport,körperliche Aktivität,1
608,Globalisierung,Kritik,0
609,Flüchtlinge,Obdachlose,1
610,Klimawandel,Feedback Prozess,0
611,Kunst,Kunstbewegungen,0
612,DNA,KoFaktoren,0
613,Medikament,Medikament,1
614,Religion,wichtiger Aspekt des sozialen Kapitals,0
615,Impfstoff,Impfstoff,1
616,Technologie,weitere von Oregons großen Wirtschaftskräften,0
617,Prostitution,Formen kommerzieller Sex,0
618,Religion,integraler Bestandteil des täglichen Lebens,0
619,Religion,weitere Methode,0
620,fossiler Brennstoff,Brennstoff,1
621,Demokratie,neuer Ansatz,0
622,Prostitution,Straftat,0
623,Medikament,Stoffe,0
624,Abtreibung,kontroverse politische Frage,0
625,Abtreibung,Ausübung dieses Rechts,0
626,Impfstoff,gestrichener,0
627,DNA,relativ starres Polymer,0
628,Kapitalismus,wirtschaftliches und soziales System,1
629,Religion,Angelegenheit,0
630,Kunst,Zeichen,1
631,Religion,Faktor,0
632,Fettleibigkeit,damit verbundene Krankheiten,0
633,Prostitution,Form,0
634,Technologie,enorme Menge,0
635,Kunst,renommierte Kunsthochschule,0
636,Medikament,chemische Substanz,1
637,Sport,wichtiges Ereignis,0
638,Kapitalismus,Ansatz,0
639,Internet,moderne Technologie,0
640,Medikament,North,0
641,Impfstoff,wirksames Instrument,0
642,Rauchen,Praxis,0
643,Impfung,wesentlicher Bestandteil,0
644,Klimawandel,bedeutende und dauerhafte Veränderung der statistischen Verteilung,0
645,Abtreibung,Thema,0
646,Fettleibigkeit,Antwort,0
647,Demokratie,Demokratie,1
648,Technologie,Reihe,0
649,Steuer,Quelle der Einnahmen,0
650,Smartphone,Motor,0
651,Steuer,einheitlicher Preis,0
652,Gesundheitsversorgung,Krankenschwester,0
653,Todesstrafe,gesetzliche Strafe,0
654,Kunst,schwierige Begriffsbestimmung,0
655,Prostitution,administrative aber nicht kriminelle Straftat,0
656,Religion,universal etabliertes Phänomen,0
657,Kunst,Tendenz,0
658,Internet,elektronische Formen des Spiels,0
659,gleichgeschlechtliche Ehe,verfassungsrechtliches Recht,0
660,Globalisierung,Fahrer,0
661,Sport,wesentlicher Bestandteil der bahamischen Kultur,0
662,Kapitalismus,Pyramide,0
663,Prostitution,zunehmend großer Teil der chinesischen Wirtschaft,0
664,Gesundheitswesen,unabhängige schwedische Regierungsstelle,0
665,Doping,sanktionierte Verhaltensweisen,0
666,Kunst,Kunstwerke,0
667,Internet,Systeme,0
668,DNA,gut entwickeltes Material,0
669,Monopol,wirtschaftliches Konzept,0
670,Monopol,Braunkohle,0
671,Impfstoff,Krebs Impfstoff,0
672,Kapitalismus,Wirtschaftssystem,1
673,Prostitution,sexuelle Ausbeutung,1
674,Religion,bona fide Religion,0
675,Klimawandel,drängende ökologische Krisen,0
676,Religion,Methode,0
677,Internet,weltweites Netzwerk,1
678,Religion,akutes Thema der Diskussion,0
679,Internet,integraler Bestandteil des modernen Lebens,0
680,Steuer,Vorschlag,0
681,Kunst,globale Tätigkeit,0
682,Kunst,menschliche Aktivität,0
683,Kunst,Einrichtungen,0
684,Kapitalismus,theoretisches System,0
685,Technologie,zusätzliche Funktion,0
686,Impfung,schwieriges politisches Problem,0
